Country Name,Year,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),Inflation (Annual %),Wealth Inequality (Top 10%),Wealth Inequality (Bottom 50%),Year_Raw,General Government Debt (% of GDP)
Estonia,1996,3.46531703682218,1.16273680940332,4.94301226131752,27.4830229594263,-1.47536463752721,23.0503433495169,0.6794,0.0032,1996,7.2978961
Estonia,1997,5.31678787173078,2.80170558006951,13.0500207047869,30.7232535651635,-1.14091924023266,10.5818789322146,0.6788000000000001,0.0033,1997,6.0334512
Estonia,1998,10.4966423724993,0.376362232007911,4.33982761193587,31.6245038899654,-0.960559004588775,8.20833333333297,0.6732,0.0041,1998,5.3982726
Estonia,1999,5.66089553450958,1.7999484596429,-0.425025372086623,25.9038094343294,0.294482275915173,3.29611089718909,0.672,0.0043,1999,5.9327435
Estonia,2000,7.31923766598521,1.62363745656443,10.0876385800462,28.4761032107323,0.483707161729931,4.01848952508763,0.6737000000000001,0.0041,2000,5.1137137
Estonia,2001,9.48590177311271,4.00715766267092,5.88074589534277,29.6026320949271,-0.63696312445507,5.74827981651373,0.6702,0.0046,2001,4.9325993
Estonia,2002,4.58926418891502,2.51904235549088,6.93300082616575,32.9307657546669,-0.633433796423808,3.57191270164026,0.6766,0.0036,2002,5.6601652
Estonia,2003,10.5121715393056,2.78303090030625,7.59630181032645,35.1880300634078,-0.627622448059203,1.33499116549955,0.6763,0.0037,2003,5.5986701
Estonia,2004,8.94665953048459,3.19656459908012,6.80070110758655,34.6488549298291,-0.597820510395586,3.04811107523416,0.6701,0.0046,2004,5.1586871
Estonia,2005,21.6702241581922,5.99115193943391,9.52305386462066,33.3508381603819,-0.572255524659659,4.07971423199848,0.6821,0.0027,2005,4.733175
Estonia,2006,10.3265683442585,8.49381425225221,9.76257131206653,39.8256877468792,-0.589655559840225,4.43762042389213,0.6695,0.0047,2006,4.7166197
Estonia,2007,13.5105132723156,10.6343480471863,7.57091879311882,40.0058943445447,-0.456188535090031,6.60132603055637,0.6673,0.0051,2007,3.9080219
Estonia,2008,8.12253971916627,5.29861849630163,-5.12531154308803,31.6334055843093,-0.268133719541207,10.3623580313682,0.6631,0.0057,2008,4.6729872
Estonia,2009,9.50544171137007,6.9419617553849,-14.6302225427906,21.0087753498274,-0.192768077420229,-0.0784083112809768,0.6546000000000001,0.007,2009,7.9759194
